PLAYER_ID,NAME,AGE,TEAM,FGA,3PA,3P_PCT,SEASON,SHOT_FREQUENCY_PCT,TEAM_ID,LEFT_CORNER_3_FGM,LEFT_CORNER_3_FGA,LEFT_CORNER_3_PCT,RIGHT_CORNER_3_FGM,RIGHT_CORNER_3_FGA,RIGHT_CORNER_3_PCT,ABOVE_THE_BREAK_3_FGM,ABOVE_THE_BREAK_3_FGA,ABOVE_BREAK_3_PCT,CORNER_3_FGM,CORNER_3_FGA,CORNER_3_PCT,SEASON_START,TARGET_3P_PCT,TARGET_SEASON
2207,Joe Johnson,35.0,MIA,859,313,0.383,2015-16,0.3643771827706635,1610612748,24.0,62.0,0.387,20.0,45.0,0.444,76.0,203.0,0.374,44.0,107.0,0.411,2015,0.411,2016-17
2207,Joe Johnson,36.0,UTA,626,258,0.411,2016-17,0.4121405750798722,1610612762,23.0,53.0,0.434,16.0,36.0,0.444,66.0,168.0,0.393,39.0,89.0,0.438,2016,0.276,2017-18
2210,Richard Jefferson,35.0,DAL,324,155,0.426,2014-15,0.4783950617283951,1610612742,15.0,32.0,0.469,13.0,33.0,0.394,38.0,91.0,0.418,28.0,65.0,0.431,2014,0.382,2015-16
2210,Richard Jefferson,36.0,CLE,312,173,0.382,2015-16,0.5544871794871795,1610612739,14.0,34.0,0.412,25.0,53.0,0.472,27.0,85.0,0.318,39.0,87.0,0.448,2015,0.333,2016-17
2210,Richard Jefferson,37.0,CLE,343,186,0.333,2016-17,0.5422740524781341,1610612739,13.0,36.0,0.361,20.0,52.0,0.385,28.0,96.0,0.292,33.0,88.0,0.375,2016,0.286,2017-18
2216,Zach Randolph,33.0,MEM,932,20,0.35,2014-15,0.0214592274678111,1610612763,0.0,0.0,0.0,0.0,2.0,0.0,5.0,13.0,0.385,0.0,2.0,0.0,2014,0.231,2015-16
2216,Zach Randolph,34.0,MEM,907,26,0.231,2015-16,0.0286659316427783,1610612763,1.0,2.0,0.5,1.0,2.0,0.5,4.0,19.0,0.211,2.0,4.0,0.5,2015,0.223,2016-17
2216,Zach Randolph,35.0,MEM,964,94,0.223,2016-17,0.0975103734439834,1610612763,2.0,5.0,0.4,2.0,9.0,0.222,17.0,75.0,0.227,4.0,14.0,0.286,2016,0.347,2017-18
2225,Tony Parker,33.0,SAS,832,89,0.427,2014-15,0.1069711538461538,1610612759,12.0,31.0,0.387,15.0,37.0,0.405,11.0,21.0,0.524,27.0,68.0,0.397,2014,0.415,2015-16
2225,Tony Parker,34.0,SAS,710,65,0.415,2015-16,0.0915492957746478,1610612759,6.0,21.0,0.286,10.0,24.0,0.417,11.0,20.0,0.55,16.0,45.0,0.356,2015,0.333,2016-17
